1 € en yens;DELTA [-30,30];DELTA [-1,1]
140.22;1.43;0.047666667
141.07;0.85;0.028333333
131.31;-9.76;-0.325333333
129.34;-1.97;-0.065666667
133.54;4.2;0.14
133.48;-0.06;-0.002
131.33;-2.15;-0.071666667
130.79;-0.54;-0.018
130.14;-0.65;-0.021666667
128.16;-1.98;-0.066
129.56;1.4;0.046666667
125.27;-4.29;-0.143
123.71;-1.56;-0.052
119.92;-3.79;-0.126333333
112.42;-7.5;-0.25
113.37;0.95;0.031666667
108.04;-5.33;-0.177666667
103.72;-4.32;-0.144
106.45;2.73;0.091
107.51;1.06;0.035333333
102.59;-4.92;-0.164
99.92;-2.67;-0.089
98.23;-1.69;-0.056333333
100.71;2.48;0.082666667
101.39;0.68;0.022666667
97.63;-3.76;-0.125333333
93.11;-4.52;-0.150666667
92.75;-0.36;-0.012
93.45;0.7;0.023333333
100.61;7.16;0.238666667
109.54;8.93;0.297666667
107.16;-2.38;-0.079333333
110.33;3.17;0.105666667
110.36;0.03;0.001
106.24;-4.12;-0.137333333
104.3;-1.94;-0.064666667
107.33;3.03;0.101
109.34;2.01;0.067
108.25;-1.09;-0.036333333
109.89;1.64;0.054666667
108.68;-1.21;-0.040333333
113.38;4.7;0.156666667
117.05;3.67;0.122333333
116.21;-0.84;-0.028
114.75;-1.46;-0.048666667
115.81;1.06;0.035333333
115.86;0.05;0.001666667
117.84;1.98;0.066
117.1;-0.74;-0.024666667
116.31;-0.79;-0.026333333
118.48;2.17;0.072333333
121.57;3.09;0.103
121.65;0.08;0.002666667
124.2;2.55;0.085
126.12;1.92;0.064
128.6;2.48;0.082666667
128.19;-0.41;-0.013666667
130.12;1.93;0.064333333
135.83;5.71;0.190333333
138.06;2.23;0.074333333
134.97;-3.09;-0.103
132.16;-2.81;-0.093666667
128.97;-3.19;-0.106333333
128.12;-0.85;-0.028333333
128.01;-0.11;-0.003666667
132.43;4.42;0.147333333
134.13;1.7;0.056666667
134.85;0.72;0.024
132.9;-1.95;-0.065
129.08;-3.82;-0.127333333
134.46;5.38;0.179333333
132.81;-1.65;-0.055
134.08;1.27;0.042333333
134.48;0.4;0.013333333
134.61;0.13;0.004333333
135.95;1.34;0.044666667
136.12;0.17;0.005666667
139.14;3.02;0.100666667
135.61;-3.53;-0.117666667
136.61;1;0.033333333
138.84;2.23;0.074333333
138.84;0;0
135.26;-3.58;-0.119333333
132.3;-2.96;-0.098666667
134.83;2.53;0.084333333
136.03;1.2;0.04
136.06;0.03;0.001
138.14;2.08;0.069333333
139.66;1.52;0.050666667
140.58;0.92;0.030666667
139.92;-0.66;-0.022
140.66;0.74;0.024666667
140.96;0.3;0.01
143.59;2.63;0.087666667
142.77;-0.82;-0.027333333
145.11;2.34;0.078
146.68;1.57;0.052333333
148.61;1.93;0.064333333
148.99;0.38;0.012666667
149.63;0.64;0.021333333
151.22;1.59;0.053
154.82;3.6;0.12
156.57;1.75;0.058333333
157.5;0.93;0.031
155.24;-2.26;-0.075333333
160.68;5.44;0.181333333
163.24;2.56;0.085333333
164.55;1.31;0.043666667
166.55;2;0.066666667
159.05;-7.5;-0.25
160.05;1;0.033333333
165;4.95;0.165
162.89;-2.11;-0.070333333
163.55;0.66;0.022
158.67;-4.88;-0.162666667
157.97;-0.7;-0.023333333
156.64;-1.33;-0.044333333
161.56;4.92;0.164
162.31;0.75;0.025
166.28;3.97;0.132333333
168.41;2.13;0.071
163.36;-5.05;-0.168333333
153.04;-10.32;-0.344
133.52;-19.52;-0.650666667
123.05;-10.47;-0.349
122.51;-0.54;-0.018
119.73;-2.78;-0.092666667
118.3;-1.43;-0.047666667
127.79;9.49;0.316333333
130.25;2.46;0.082
131.99;1.74;0.058
135.44;3.45;0.115
133.09;-2.35;-0.078333333
135.22;2.13;0.071
133.04;-2.18;-0.072666667
133.91;0.87;0.029
132.88;-1.03;-0.034333333
131.21;-1.67;-0.055666667
130.11;-1.1;-0.036666667
123.32;-6.79;-0.226333333
123.16;-0.16;-0.005333333
125.33;2.17;0.072333333
115.59;-9.74;-0.324666667
110.87;-4.72;-0.157333333
111.73;0.86;0.028666667
